case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.031986234344101555,29,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,30,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,31,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,32,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,33,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,34,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,35,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,36,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,37,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,38,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,39,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,40,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,41,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,42,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,43,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,44,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,45,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,46,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,47,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,48,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,49,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,50,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,51,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,52,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,53,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,54,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,55,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,56,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,57,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,58,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,59,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,60,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,61,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,62,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,63,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,64,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,65,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,66,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,67,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,68,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,69,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,70,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,71,0.0,0.0,-0.0,0.0
fn167,0.047970400204244416,0,7.848582909033254e-18,2.9755917190453357e-18,-2.6685181890713063e-14,-1.0117011844754142e-14
fn167,0.047970400204244416,1,2.106956770278908e-15,3.483836576891888e-15,-7.1636530189482875e-12,-1.184504436143242e-11
fn167,0.047970400204244416,2,1.8880095439098993e-15,3.0306183846598296e-15,-6.419232449293657e-12,-1.0304102507843421e-11
fn167,0.047970400204244416,3,0.0,0.0,-0.0,0.0
fn167,0.047970400204244416,4,1.665728086286562e-15,2.5524985654466012e-15,-5.663475493374311e-12,-8.678495122518444e-12
fn167,0.047970400204244416,5,0.0,0.0,-0.0,0.0
fn167,0.047970400204244416,6,1.379910481072645e-16,7.929021658225421e-17,-4.691695635646992e-13,-2.6958673637966434e-13
fn167,0.047970400204244416,7,1.5789933834152852e-15,2.1946552545628083e-15,-5.368577503611969e-12,-7.461827865513549e-12
fn167,0.047970400204244416,8,0.0,0.0,-0.0,0.0
fn167,0.047970400204244416,9,2.805178608023432e-16,1.6970833889210662e-16,-9.537607267279668e-13,-5.770083522331625e-13
fn167,0.047970400204244416,10,1.2632806422729912e-15,1.797361521833874e-15,-4.295154183728171e-12,-6.111029174235171e-12
fn167,0.047970400204244416,11,2.8291323746928196e-16,1.754979924773457e-16,-9.619050073955587e-13,-5.966931744229754e-13
fn167,0.047970400204244416,12,1.1589513655556099e-15,1.6219839229251839e-15,-3.9404346428890735e-12,-5.514745337945625e-12
fn167,0.047970400204244416,13,1.1094658356678895e-15,1.5414932900998865e-15,-3.772183841270824e-12,-5.241077186339614e-12
fn167,0.047970400204244416,14,8.166647090686772e-16,9.151712428092094e-16,-2.7766600108335025e-12,-3.111582225551312e-12
fn167,0.047970400204244416,15,7.941249188429786e-16,8.806407163696011e-16,-2.700024724066127e-12,-2.9941784356566437e-12
fn167,0.047970400204244416,16,7.720351576958023e-16,8.474230508644783e-16,-2.6249195361657276e-12,-2.881238372939226e-12
fn167,0.047970400204244416,17,4.616544643079717e-16,6.26460586756185e-16,-1.5696251786471036e-12,-2.1299659949710292e-12
fn167,0.047970400204244416,18,4.394013400273277e-16,5.934746307264364e-16,-1.493964556092914e-12,-2.0178137444698836e-12
fn167,0.047970400204244416,19,9.980736878437505e-16,9.464890519905508e-16,-3.3934505386687514e-12,-3.2180627767678725e-12
