case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.25576455638610157,32,0.0,0.0,-0.0,0.0
fn167,0.25576455638610157,33,0.0,0.0,-0.0,0.0
fn167,0.25576455638610157,34,0.0,0.0,-0.0,0.0
fn167,0.25576455638610157,35,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,0,-4.916779334703731e-16,-8.37102276736251e-16,1.6717049737992685e-12,2.8461477409032535e-12
fn167,0.319701219826673,1,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,2,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,3,3.736530260543778e-17,3.2399798592903893e-16,-1.2704202885848844e-13,-1.1015931521587323e-12
fn167,0.319701219826673,4,3.900650557805832e-17,-1.9153636695494387e-16,-1.3262211896539829e-13,6.512236476468092e-13
fn167,0.319701219826673,5,5.118475714687899e-17,9.337413126548171e-17,-1.7402817429938857e-13,-3.1747204630263785e-13
fn167,0.319701219826673,6,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,7,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,8,9.907958544323666e-17,7.455354881111778e-17,-3.3687059050700463e-13,-2.5348206595780043e-13
fn167,0.319701219826673,9,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,10,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,11,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,12,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,13,8.971848994611203e-17,1.5488323432035225e-16,-3.050428658167809e-13,-5.266029966891977e-13
fn167,0.319701219826673,14,1.2977313242443508e-16,1.9938299645420754e-16,-4.412286502430793e-13,-6.779021879443057e-13
fn167,0.319701219826673,15,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,16,-3.307903350456564e-18,1.1396565222233811e-17,1.1246871391552317e-14,-3.874832175559496e-14
fn167,0.319701219826673,17,1.1578330483241355e-16,1.7052000823111965e-16,-3.9366323643020607e-13,-5.797680279858068e-13
fn167,0.319701219826673,18,1.1578330483241318e-16,1.7052000823112068e-16,-3.936632364302048e-13,-5.797680279858103e-13
fn167,0.319701219826673,19,-3.30790335045637e-18,1.1396565222233537e-17,1.1246871391551657e-14,-3.874832175559403e-14
fn167,0.319701219826673,20,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,21,1.2977313242443404e-16,1.993829964542062e-16,-4.4122865024307574e-13,-6.779021879443011e-13
fn167,0.319701219826673,22,8.971848994611194e-17,1.5488323432035213e-16,-3.050428658167806e-13,-5.266029966891972e-13
fn167,0.319701219826673,23,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,24,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,25,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,26,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,27,9.907958544323595e-17,7.455354881111738e-17,-3.368705905070022e-13,-2.534820659577991e-13
fn167,0.319701219826673,28,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,29,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,30,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,31,3.9006505578070176e-17,-1.9153636695494313e-16,-1.326221189654386e-13,6.512236476468067e-13
fn167,0.319701219826673,32,3.736530260544828e-17,3.2399798592903814e-16,-1.2704202885852416e-13,-1.1015931521587297e-12
fn167,0.319701219826673,33,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,34,0.0,0.0,-0.0,0.0
fn167,0.319701219826673,35,-4.916779334703911e-16,-8.371022767362585e-16,1.6717049737993299e-12,2.846147740903279e-12
fn167,0.38363788326724446,0,3.9919557368568833e-16,8.811266765411843e-16,-1.3572649505313404e-12,-2.9958307002400267e-12
fn167,0.38363788326724446,1,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,2,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,3,-1.260895928762828e-17,-3.271233730127356e-16,4.287046157793615e-14,1.112219468243301e-12
fn167,0.38363788326724446,4,-5.002805446113955e-17,1.8794573860102076e-16,1.7009538516787447e-13,-6.390155112434706e-13
fn167,0.38363788326724446,5,-4.2592396957598796e-17,-9.773537274013782e-17,1.448141496558359e-13,3.323002673164686e-13
fn167,0.38363788326724446,6,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,7,0.0,0.0,-0.0,0.0
