benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_local_index,x_m,x_over_l,row_block_index,row_block_name,free_surface_panel_index,free_surface_panel_y_m,free_surface_panel_length_m,free_surface_potential_abs,free_surface_potential_phase_deg,matrix_column_norm,row_block_contribution_norm,row_block_free_rhs_norm,total_free_rhs_norm,row_block_to_total_free_rhs_norm_ratio,panel_to_row_block_free_rhs_norm_ratio,panel_to_total_free_rhs_norm_ratio,panel_to_row_block_real_alignment,panel_to_row_block_phase_deg,row_block_to_total_real_alignment,row_block_to_total_phase_deg,gate_role
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,1,-0.24983774999999997,0.4334414999999999,0.8235028716540165,109.46365500595502,1.0026084904537946,0.8256509710333986,3.345805013598353,6.903727291288669,0.48463748239595017,0.2467719928919067,0.11959495736096498,0.8690907860557776,16.363514010383724,0.4846374823959502,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,2,0.24983775,0.4334415,0.8235028716540165,109.46365500595503,1.0026084904537946,0.8256509710333986,3.345805013598353,6.903727291288669,0.48463748239595017,0.2467719928919067,0.11959495736096498,0.8690907860557778,16.363514010383735,0.4846374823959502,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.23,A33,0.941,heave,heave_force,1,0.15,0.049999999999999996,2,eq23_inner_control,3,0.68327925,0.4334414999999999,0.8264620690506355,77.61904717250461,1.5569906272861769,1.2867936953193806,3.345805013598353,6.903727291288669,0.48463748239595017,0.3845991293842486,0.18639115379645654,0.7424164874688252,-12.437191419127926,0.4846374823959502,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,2.23,B33,2.05,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,0,-0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014761,0.2791702747785683,0.23154729943412705,3.2695965796717044,6.952556193449732,0.4702725858946837,0.07081830855639579,0.03330390909350385,0.8909210240125871,-26.51900102328048,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,2.23,B33,2.05,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,1,-0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,1.7889726392197924,1.435437407284149,3.2695965796717044,6.952556193449732,0.4702725858946837,0.43902584686098467,0.20646182027791868,0.9951725693281123,4.121598884356019,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,2.23,B33,2.05,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,2,0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,1.7889726392197924,1.4354374072841485,3.2695965796717044,6.952556193449732,0.4702725858946837,0.4390258468609845,0.2064618202779186,0.9951725693281125,4.121598884356032,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,2.23,B33,2.05,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,3,0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014757,0.2791702747785683,0.23154729943412705,3.2695965796717044,6.952556193449732,0.4702725858946837,0.07081830855639579,0.03330390909350385,0.8909210240125869,-26.519001023280524,0.4702725858946837,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,2.23,B33,2.05,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,0,-0.679316203125,0.44136759374999995,0.8294124423446774,84.23612402014761,3.141592653589793,2.6056760356660065,5.127133199303348,6.952556193449732,0.7374457762935904,0.5082130567663142,0.37477957216957314,0.5082130567663142,0.0,0.7374457762935903,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,2.23,B33,2.05,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,1,-0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,3.141592653589793,2.5207538195657215,5.127133199303348,6.952556193449732,0.7374457762935904,0.491649762465354,0.36256504074582235,0.49164976246535413,0.0,0.7374457762935903,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,2.23,B33,2.05,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,2,0.23794860937499998,0.44136759374999995,0.8023808614033204,114.91499206224312,3.141592653589793,2.5207538195657215,5.127133199303348,6.952556193449732,0.7374457762935904,0.491649762465354,0.36256504074582235,0.4916497624653541,0.0,0.7374457762935903,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
