benchmark,matrix_cell,candidate_name,station_index,x_m,x_over_l,trapz_weight_m,candidate_transport_force_density_real,candidate_transport_force_density_imag,direct_pressure_gradient_force_density_real,direct_pressure_gradient_force_density_imag,stokes_body_forward_force_density_real,stokes_body_forward_force_density_imag,direct_minus_candidate_force_density_real,direct_minus_candidate_force_density_imag,candidate_minus_stokes_force_density_real,candidate_minus_stokes_force_density_imag,candidate_transport_station_force_real,candidate_transport_station_force_imag,direct_minus_candidate_station_force_real,direct_minus_candidate_station_force_imag,candidate_minus_stokes_station_force_real,candidate_minus_stokes_station_force_imag,station_abs_direct_candidate_residual_share,station_abs_candidate_stokes_residual_share,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,20,1.575,0.525,0.07499999999999996,-9.253093179313332,201.5569747536636,-9.655735036253205,27.731600238751568,9.262338322530676,-202.76501153407347,-0.40264185693987287,-173.82537451491203,-18.515431501844006,404.3219862877371,-0.6939819884484995,15.116773106524763,-0.03019813927049045,-13.036903088618395,-1.3886573626382996,30.324148971580264,0.0277864955585196,0.04765520578751377,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,21,1.65,0.5499999999999999,0.07499999999999996,-19.67920135374474,223.63121578355626,-23.672875596191357,48.443195821707256,19.898779899405707,-227.72368048891045,-3.993674242446616,-175.188019961849,-39.57798125315045,451.3548962724667,-1.4759401015308546,16.77234118376671,-0.299525568183496,-13.139101497138666,-2.9683485939862817,33.85161722043498,0.028011518983510213,0.05334694035812161,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,22,1.7249999999999999,0.575,0.07499999999999996,-31.237571439913197,238.21672828836998,-39.785191084715734,60.26034141562862,32.18867015576557,-247.736433536883,-8.547619644802538,-177.95638687274135,-63.42624159567877,485.953161825253,-2.3428178579934884,17.86625462162774,-0.64107147336019,-13.346729015455594,-4.756968119675904,36.44648713689396,0.02847956930449974,0.05770195333010836,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,23,1.7999999999999998,0.6,0.07500000000000007,-42.604368769108014,244.27303766623461,-55.36837321325655,62.13359305226369,45.20668337346366,-262.12320927465845,-12.764004444148533,-182.1394446139709,-87.81105214257167,506.3962469408931,-3.195327657683104,18.32047782496761,-0.9573003333111408,-13.66045834604783,-6.585828910692881,37.97971852056702,0.029186850671567833,0.06051342146157791,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,24,1.875,0.625,0.07500000000000007,-52.37587739187926,241.20403928214827,-67.74694251736852,53.939054308083186,57.95674373104021,-270.4642872517702,-15.371065125489267,-187.2649849740651,-110.33262112291948,511.6683265339185,-3.928190804390948,18.090302946161138,-1.152829884411696,-14.044873873054895,-8.274946584218968,38.37512449004392,0.03003544893312368,0.061629089730802875,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,25,1.95,0.65,0.07499999999999996,-59.20801866084423,228.88532406767627,-74.53485581950977,36.47351820834874,69.44869784177445,-272.61562292797635,-15.32683715866554,-192.41180585932753,-128.65671650261868,501.5009469956526,-4.440601399563315,17.16639930507571,-1.1495127868999149,-14.430885439449556,-9.649253737696394,37.612571024673926,0.03085493471446967,0.060959396555799995,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,26,2.025,0.6749999999999999,0.07500000000000007,-61.96066278080869,207.6589701864293,-73.9663848018904,11.337126419684282,78.77834744952452,-268.7039006960621,-12.00572202108171,-196.32184376674502,-140.7390102303332,476.3628708824914,-4.6470497085606555,15.574422763982211,-0.900429151581129,-14.724138282505889,-10.555425767275,35.727215316186886,0.03144116413215139,0.05848415797774302,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,27,2.1,0.7000000000000001,0.07499999999999996,-59.833386622613546,178.29765877925172,-65.17036759151904,-19.28576524936186,85.20356307193376,-259.1014399458292,-5.336980968905493,-197.5834240286136,-145.0369496945473,437.39909872508093,-4.487503996696013,13.372324408443871,-0.40027357266791175,-14.81875680214601,-10.877771227091042,32.80493240438105,0.031595724632074634,0.05425727764489461,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,28,2.175,0.725,0.07499999999999996,-52.47872785642373,141.94557695208894,-48.34426862021607,-52.9178265608287,88.20903676555041,-244.38372295758717,4.134459236207661,-194.86340351291764,-140.68776462197414,386.32929990967614,-3.9359045892317774,10.645918271406664,0.3100844427155744,-14.614755263468815,-10.551582346648054,28.974697493225694,0.031156413064716063,0.04840911828597366,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,55,current_equal_panel_x_derivative,29,2.25,0.75,0.07499999999999996,-40.08014511979574,100.04998210648145,-24.794792796858655,-87.10476918311979,87.55292758421658,-225.27503749151788,15.285352322937083,-187.15475128960122,-127.6330727040123,325.32501959799936,-3.0060108839846786,7.503748657986105,1.1464014242202805,-14.036606346720083,-9.572480452800917,24.399376469849937,0.030016768482340903,0.04114652605756863,none,false,diagnostic-only mapped fixed-control-surface complex closure; no default force term is changed.,diagnostic_pitch_mapping_complex_closure_not_hard_gate,INFO
