case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.021330123770672976,43,2.924438581219038e-16,-4.519512717070965e-17,-9.943091176144728e-13,1.5366343238041282e-13
fn167,0.021330123770672976,44,-4.4784128645682667e-17,-3.0925068204219574e-16,1.5226603739532106e-13,1.0514523189434656e-12
fn167,0.021330123770672976,45,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,46,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,47,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,48,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,49,3.268748194569646e-16,2.471057723216551e-16,-1.1113743861536796e-12,-8.401596258936274e-13
fn167,0.021330123770672976,50,1.6513702502579987e-16,1.256672220613955e-16,-5.614658850877196e-13,-4.272685550087447e-13
fn167,0.021330123770672976,51,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,52,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,53,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,54,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,55,-2.1936708960506624e-16,-1.2746679907965446e-15,7.458481046572252e-13,4.333871168708252e-12
fn167,0.021330123770672976,56,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,57,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,58,4.72957976239533e-17,3.7964369487577305e-17,-1.608057119214412e-13,-1.2907885625776283e-13
fn167,0.021330123770672976,59,-1.2415146077443615e-17,-9.804179502182768e-18,4.221149666330829e-14,3.333421030742141e-14
fn167,0.04264234491753012,0,-1.1946955775835752e-15,-2.2291020387422294e-15,4.061964963784156e-12,7.57894693172358e-12
fn167,0.04264234491753012,1,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,2,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,3,-2.0572630689972183e-16,-1.394388937987155e-15,6.994694434590542e-13,4.7409223891563275e-12
fn167,0.04264234491753012,4,-1.7363807559323558e-16,-1.2854156006980306e-15,5.903694570170009e-13,4.370413042373304e-12
fn167,0.04264234491753012,5,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,6,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,7,3.9892235768082344e-17,-4.3350763587481164e-16,-1.3563360161147996e-13,1.4739259619743595e-12
fn167,0.04264234491753012,8,7.382150293486348e-17,-3.772360439295931e-16,-2.5099310997853585e-13,1.2826025493606167e-12
fn167,0.04264234491753012,9,2.665885521326765e-16,-1.946776473592203e-16,-9.064010772511001e-13,6.61904001021349e-13
fn167,0.04264234491753012,10,1.3527378760006177e-16,-2.7716588335515266e-16,-4.5993087784021e-13,9.42364003407519e-13
fn167,0.04264234491753012,11,1.6373091600841658e-16,-2.3191460096339906e-16,-5.566851144286164e-13,7.885096432755568e-13
fn167,0.04264234491753012,12,3.128562046724437e-16,2.490443266535113e-16,-1.0637110958863086e-12,-8.467507106219383e-13
fn167,0.04264234491753012,13,2.1758278306031663e-16,-1.4846340303384296e-16,-7.397814624050765e-13,5.047755703150661e-13
fn167,0.04264234491753012,14,3.0693031653727685e-16,2.416340163481485e-16,-1.0435630762267414e-12,-8.215556555837049e-13
fn167,0.04264234491753012,15,2.686314919639679e-16,-7.20602741705294e-17,-9.133470726774908e-13,2.4500493217979997e-13
fn167,0.04264234491753012,16,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,17,2.983498210362036e-16,2.313188563109844e-16,-1.0143893915230922e-12,-7.86484111457347e-13
fn167,0.04264234491753012,18,1.7117465175192296e-16,1.695905985425179e-17,-5.819938159565381e-13,-5.766080350445608e-14
fn167,0.04264234491753012,19,4.760348644538368e-16,2.586744789480871e-16,-1.618518539143045e-12,-8.794932284234962e-13
fn167,0.04264234491753012,20,7.752994660178695e-16,4.937596443490433e-16,-2.6360181844607563e-12,-1.6787827907867475e-12
fn167,0.04264234491753012,21,2.0765607085315447e-16,6.728881489070066e-17,-7.060306409007252e-13,-2.287819706283822e-13
fn167,0.04264234491753012,22,2.2000327928090793e-16,8.395172498190771e-17,-7.480111495550869e-13,-2.854358649384862e-13
fn167,0.04264234491753012,23,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,24,1.227233814478678e-16,5.893209084762933e-17,-4.172594969227505e-13,-2.0036910888193972e-13
fn167,0.04264234491753012,25,6.805107641941411e-16,4.784189782661171e-16,-2.3137365982600796e-12,-1.6266245261047982e-12
fn167,0.04264234491753012,26,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,27,5.385558972885879e-16,3.964544413475431e-16,-1.831090050781199e-12,-1.3479451005816464e-12
fn167,0.04264234491753012,28,5.315712440432174e-16,3.8839575675751675e-16,-1.807342229746939e-12,-1.320545572975557e-12
fn167,0.04264234491753012,29,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,30,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,31,5.315712440432174e-16,3.883957567575147e-16,-1.807342229746939e-12,-1.32054557297555e-12
fn167,0.04264234491753012,32,5.385558972885879e-16,3.9645444134754763e-16,-1.831090050781199e-12,-1.347945100581662e-12
fn167,0.04264234491753012,33,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,34,5.511188676424792e-16,4.1067922410249317e-16,-1.8738041499844293e-12,-1.3963093619484767e-12
fn167,0.04264234491753012,35,5.57054814861661e-16,4.17352772943176e-16,-1.8939863705296474e-12,-1.4189994280067985e-12
fn167,0.04264234491753012,36,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,37,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,38,2.0765607085313966e-16,6.728881489071673e-17,-7.060306409006748e-13,-2.287819706284369e-13
fn167,0.04264234491753012,39,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,40,2.9273068749754645e-16,2.2477572732071776e-16,-9.95284337491658e-13,-7.642374728904404e-13
fn167,0.04264234491753012,41,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,42,2.9834982103620133e-16,2.313188563109812e-16,-1.0143893915230845e-12,-7.864841114573361e-13
fn167,0.04264234491753012,43,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,44,3.040388101547102e-16,2.381077138128796e-16,-1.0337319545260146e-12,-8.095662269637907e-13
fn167,0.04264234491753012,45,3.069303165372723e-16,2.4163401634814693e-16,-1.0435630762267258e-12,-8.215556555836996e-13
fn167,0.04264234491753012,46,5.274485043629997e-16,9.68090466095815e-17,-1.7933249148341992e-12,-3.291507584725771e-13
fn167,0.04264234491753012,47,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,48,1.637309160084094e-16,-2.319146009634423e-16,-5.56685114428592e-13,7.885096432757038e-13
fn167,0.04264234491753012,49,4.543332051116239e-16,-2.0072353963188742e-17,-1.5447328973795212e-12,6.824600347484173e-14
fn167,0.04264234491753012,50,1.6115525248422252e-16,1.3071905473650604e-16,-5.479278584463565e-13,-4.4444478610412056e-13
fn167,0.04264234491753012,51,7.382150293487802e-17,-3.772360439295541e-16,-2.5099310997858527e-13,1.282602549360484e-12
fn167,0.04264234491753012,52,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,53,2.8338032167978643e-18,-4.953291729342995e-16,-9.634930937112739e-15,1.6841191879766184e-12
fn167,0.04264234491753012,54,1.6860004492027297e-16,1.4114306426293812e-16,-5.732401527289281e-13,-4.798864184939896e-13
fn167,0.04264234491753012,55,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,56,8.683333602423114e-17,7.412850647136506e-17,-2.9523334248238586e-13,-2.520369220026412e-13
fn167,0.04264234491753012,57,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,58,0.0,0.0,-0.0,0.0
