iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,source_signed_root_defect,jacobian_condition_number
1,1,78,-2.5242556912309095,0.0002238095060957548,-1.5938246488445398,8.844320349065687e-06,2373.9994080662364
1,1,79,-2.6973222037742386,0.00022523094796423777,-1.5839302834927937,8.844320349065687e-06,2373.9994080662364
1,1,80,-2.8741190289973884,0.00022705010353463683,-1.570784703254351,8.844320349065687e-06,2373.9994080662364
1,1,81,-3.0542941828240187,0.0002292761943608192,-1.5566877423198926,8.844320349065687e-06,2373.9994080662364
1,1,82,-3.2377352044969876,0.00023192173058945577,-1.53963036126987,8.844320349065687e-06,2373.9994080662364
1,1,83,-3.4240868131427273,0.00023500268325783814,-1.521480850737879,8.844320349065687e-06,2373.9994080662364
1,1,84,-3.6131926152931024,0.00023853872333415968,-1.500500037867634,8.844320349065687e-06,2373.9994080662364
1,1,85,-3.804687249168214,0.00024255353448343357,-1.4782314450977583,8.844320349065687e-06,2373.9994080662364
1,1,86,-3.998358282784857,0.000247075209254674,-1.4534114646498404,8.844320349065687e-06,2373.9994080662364
1,1,87,-4.193820217102281,0.0002521367416016911,-1.4274430649929983,8.844320349065687e-06,2373.9994080662364
1,1,88,-4.3908193047688755,0.00025777663257166473,-1.3993044090213032,8.844320349065687e-06,2373.9994080662364
1,1,89,-4.588949575604167,0.00026403963088173784,-1.3703007486002456,8.844320349065687e-06,2373.9994080662364
1,1,90,-4.7879389107588155,0.00027097763629723446,-1.3392867470013161,8.844320349065687e-06,2373.9994080662364
1,1,91,-4.987358533986187,0.0002786508016884657,-1.307545468057984,8.844320349065687e-06,2373.9994080662364
1,1,92,-5.186922169236549,0.0002871288800101891,-1.273757211811664,8.844320349065687e-06,2373.9994080662364
1,1,93,-5.386170814360769,0.00029649287609806804,-1.2393332360167328,8.844320349065687e-06,2373.9994080662364
1,1,94,-5.5847942684315575,0.000306837081346532,-1.2029715766275877,8.844320349065687e-06,2373.9994080662364
1,1,95,-5.782305289319185,0.00031827159378089773,-1.1662068058139161,8.844320349065687e-06,2373.9994080662364
1,1,96,-5.978367154731137,0.00033092545929870723,-1.1278434988106305,8.844320349065687e-06,2373.9994080662364
1,1,97,-6.172479194616174,0.00034495061563060493,-1.0893324098534949,8.844320349065687e-06,2373.9994080662364
1,1,98,-6.3644735780277495,0.0003541359148746567,-1.0503030036424814,8.844320349065687e-06,2373.9994080662364
1,1,99,-6.554155781980391,0.00034735623673214566,-1.0134215264584785,8.844320349065687e-06,2373.9994080662364
1,1,100,-6.7406274691536145,0.0003423078296327746,-0.9753437890685039,8.844320349065687e-06,2373.9994080662364
1,1,101,-6.923389676965114,0.00033883748744060425,-0.9371958112917321,8.844320349065687e-06,2373.9994080662364
1,1,102,-7.102071385394027,0.00033683380402735086,-0.8978148719762729,8.844320349065687e-06,2373.9994080662364
1,1,103,-7.276163042195014,0.00033622001846887587,-0.8583361407929455,8.844320349065687e-06,2373.9994080662364
1,1,104,-7.445286649545932,0.0003369491059269635,-0.8175762352044662,8.844320349065687e-06,2373.9994080662364
1,1,105,-7.6089245714840645,0.00033900057069971166,-0.7767279531810921,8.844320349065687e-06,2373.9994080662364
1,1,106,-7.766697772732488,0.00034237859533286944,-0.7345730377407274,8.844320349065687e-06,2373.9994080662364
1,1,107,-7.918088364887628,0.00034711133868431886,-0.692315655684203,8.844320349065687e-06,2373.9994080662364
1,1,108,-8.062719248740382,0.00035325128083197563,-0.6487416207398023,8.844320349065687e-06,2373.9994080662364
1,1,109,-8.200080057020742,0.0003608766000400217,-0.6050172569696045,8.844320349065687e-06,2373.9994080662364
1,1,110,-8.329796120897731,0.0003700936488229418,-0.5600149885138553,8.844320349065687e-06,2373.9994080662364
1,1,111,-8.451370402452339,0.0003810406830906372,-0.5148498472472751,8.844320349065687e-06,2373.9994080662364
1,1,112,-8.56443264142647,0.0003938931015598445,-0.4685395667451604,8.844320349065687e-06,2373.9994080662364
1,1,113,-8.668503412759232,0.00040887058585753456,-0.42216714730318633,8.844320349065687e-06,2373.9994080662364
1,1,114,-8.763222338218652,0.0004262467141863248,-0.37489394115744024,8.844320349065687e-06,2373.9994080662364
1,1,115,-8.848131415625906,0.0004463618817428193,-0.32780516529550424,8.844320349065687e-06,2373.9994080662364
1,1,116,-8.922888251978497,0.0004696407442242492,-0.2801583179843968,8.844320349065687e-06,2373.9994080662364
