iteration,residual_mode,shape_mode,value,finite_difference_step,root_defect_derivative,jacobian_condition_number
1,3,44,-0.3503305122510686,0.0002165172294331377,-0.9666415482957468,1174.577156956001
1,3,45,-0.4367222277210217,0.00022056081116051621,-1.0025283544787087,1174.577156956001
1,3,46,-0.5287296464080826,0.00021496405504237907,-1.0345443328472737,1174.577156956001
1,3,47,-0.6262121973296678,0.00021042115330424823,-1.0629515394367834,1174.577156956001
1,3,48,-0.7290571147969954,0.0002068263674949489,-1.0881344220732636,1174.577156956001
1,3,49,-0.8371336011605077,0.00020409877750730834,-1.1107981504337845,1174.577156956001
1,3,50,-0.9502720051148684,0.00020217782463036914,-1.1314149389069994,1174.577156956001
1,3,51,-1.0682849944908068,0.000201020139005758,-1.1507197933274431,1174.577156956001
1,3,52,-1.190945407793921,0.00020059733619448645,-1.1691407943654917,1174.577156956001
1,3,53,-1.3180093814004623,0.00020089457571382494,-1.1873290502308098,1174.577156956001
1,3,54,-1.4491927777899338,0.00020190975057460213,-1.205569183146853,1174.577156956001
1,3,55,-1.5841964274062486,0.00020365323384686197,-1.2243554925738722,1174.577156956001
1,3,56,-1.722680949257239,0.00020614815471548317,-1.2437708475824056,1174.577156956001
1,3,57,-1.8642943291913956,0.00020943121874837298,-1.2641241054584569,1174.577156956001
1,3,58,-2.008644913402946,0.00021355413069061964,-1.2852787000698116,1174.577156956001
1,3,59,-2.1553315775447466,0.00021858572870283254,-1.307371306636005,1174.577156956001
1,3,60,-2.303914630725818,0.00022461500355211894,-1.3300621861914326,1174.577156956001
1,3,61,-2.453948907335627,0.0002317552645405851,-1.353366061900682,1174.577156956001
1,3,62,-2.6049520722298536,0.00024014984055070607,-1.3767711302701273,1174.577156956001
1,3,63,-2.7564412644665572,0.0002499798927352308,-1.400236541869349,1174.577156956001
1,4,0,-0.14363254143618126,0.000210507315730016,0.4186995259663547,1174.577156956001
1,4,1,-0.2045555155334724,0.00014888657914978462,0.5764940309374947,1174.577156956001
1,4,2,-0.20901214466919185,0.00014899293883619384,0.5306170876066663,1174.577156956001
1,4,3,-0.2171622535997839,0.00014917045054266354,0.457855876671162,1174.577156956001
1,4,4,-0.23000849736619175,0.0001494194838463778,0.36320611389899815,1174.577156956001
1,4,5,-0.24864202468655747,0.00014974055863349603,0.2524266730709817,1174.577156956001
1,4,6,-0.274110991223572,0.00015013434760329587,0.13155294429151113,1174.577156956001
1,4,7,-0.30733958636885017,0.0001506016795253961,0.006539719238706788,1174.577156956001
1,4,8,-0.3490981051538116,0.00015114354327900223,-0.11692740435733467,1174.577156956001
1,4,9,-0.3999465627593745,0.0001517610927103525,-0.23372338667369522,1174.577156956001
1,4,10,-0.4602249024351885,0.00015245565235235382,-0.3393984202762948,1174.577156956001
1,4,11,-0.5300046091959824,0.0001532287240587723,-0.43042527816095605,1174.577156956001
1,4,12,-0.6091093465844499,0.0001540819946145808,-0.5041933269730775,1174.577156956001
1,4,13,-0.6970800870402577,0.00015501734439416748,-0.5591803270109925,1174.577156956001
1,4,14,-0.793228832750221,0.0001560368571503221,-0.5948109264781013,1174.577156956001
1,4,15,-0.8966131079786963,0.00015714283102945842,-0.6115561615241911,1174.577156956001
1,4,16,-1.0061181338722383,0.00015833779092255202,-0.6106712939962221,1174.577156956001
1,4,17,-1.1204325483482864,0.00015962450227709622,-0.5942467494304887,1174.577156956001
1,4,18,-1.2381521479508901,0.0001610059865133171,-0.5648570595909163,1174.577156956001
1,4,19,-1.357747896486234,0.0001624855382082211,-0.5255984359906313,1174.577156956001
1,4,20,-1.4776844625465062,0.00016406674423434785,-0.4796887936586579,1174.577156956001
1,4,21,-1.596372413004446,0.0001657535050666498,-0.4305300657944407,1174.577156956001
1,4,22,-1.7122961901353724,0.00016755005850157862,-0.38129758965128746,1174.577156956001
1,4,23,-1.823944305634414,0.00016946100606764667,-0.3350592045280984,1174.577156956001
1,4,24,-1.929943574697889,0.0001714913424475288,-0.2943831358751833,1174.577156956001
1,4,25,-2.0289635371208776,0.00017364648827901483,-0.2615337373034518,1174.577156956001
