benchmark,coefficient,source_row,station_index,x_m,x_over_l,body_normal_velocity_norm,inner_free_surface_normal_derivative_norm,body_potential_norm,free_surface_potential_norm,control_potential_norm,inner_free_surface_normal_derivative_to_body_normal_velocity_ratio,body_potential_to_inner_free_surface_normal_derivative_gain,body_potential_to_body_normal_velocity_gain,free_surface_potential_to_body_potential_ratio,control_potential_to_body_potential_ratio,time_derivative_density_value_per_m,station_trapezoid_weight_m,station_time_derivative_contribution_value,station_abs_contribution_share,coefficient_reference_value,coefficient_computed_value,coefficient_gate_error_ratio,coefficient_status,coefficient_time_component_value,station_integral_time_component_value,required_global_scale_to_reference_from_time_integral,diagnostic_flags,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,10,0.825,0.27499999999999997,5.877556747710619,1.938140505025828,2.1449692342477085,1.5047276932815183,1.230161243825844,0.32975275071240406,1.106715033654964,0.36494232660249526,0.7015148139452275,0.5735099712314945,0.38422031878809537,0.03749999999999998,0.014408261954553568,0.0149974314147877,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,10,0.825,0.27499999999999997,6.55347577369734,2.3451212659542717,2.137960281571157,1.5868351425585108,1.2495210063430218,0.3578438903164208,0.9116629969671026,0.32623303349223537,0.7422191872490577,0.5844453786694139,0.2927166922305101,0.03749999999999998,0.010976875958644123,0.01142573232341666,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,11,0.8999999999999999,0.3,6.031881339772348,1.9248759728058593,2.1703115931710184,1.4664705613207336,1.1902900362492288,0.3191170157996687,1.1275072388208949,0.35980674534504836,0.6756958613385508,0.5484420025191448,0.4339961546912754,0.03749999999999998,0.01627485580092282,0.016940352308264402,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,11,0.8999999999999999,0.3,6.725547693846168,2.3285334629067163,2.1737182909526944,1.5497752492622652,1.212390331008606,0.3462221322194041,0.9335138728215804,0.3232031635046812,0.7129604860540745,0.5577495189025811,0.34049951610191526,0.03750000000000003,0.012768731853821833,0.01329085914980794,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,12,0.975,0.325,6.1596923918770905,1.901519321121218,2.187144670182853,1.4218366314246564,1.1467342073036193,0.30870361702295224,1.1502090175414144,0.35507368404745093,0.6500880581007866,0.5243065184196289,0.4810286010340169,0.03750000000000003,0.01803857253877565,0.018776189336664716,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,12,0.975,0.325,6.868057016942955,2.3000446598712294,2.201920117798913,1.506021399979406,1.1715766252719362,0.3348901522216838,0.957337984003402,0.32060306319049914,0.6839582361801833,0.5320704487877015,0.38697715824377016,0.03750000000000003,0.014511643434141394,0.015105040275215705,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,13,1.05,0.35000000000000003,6.984965196964434,2.260666276865073,2.2220292518611853,1.4556765534917004,1.1272224667759319,0.32364746467849637,0.9829090098793941,0.31811600905711707,0.6551113367532929,0.5072941617810672,0.43132279908409227,0.03749999999999998,0.01617460496565345,0.016836002107596906,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,13,1.05,0.35000000000000003,6.264542777546578,1.8690445588654376,2.1951858428490625,1.3710252150592848,1.0997343274489724,0.2983529086215967,1.174496259298174,0.35041437512679524,0.6245599749677113,0.5009755010180195,0.5245032965419408,0.03750000000000003,0.0196688736203228,0.02047315519785454,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,14,1.125,0.375,6.349215650268908,1.8287727155962188,2.194190895396388,1.3143492315450882,1.0496103618443702,0.28803128076438306,1.1998160715565112,0.34558455977211255,0.59901316439819,0.47835872623778913,0.5636495000226306,0.03749999999999998,0.021136856250848636,0.022001165230490918,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,14,1.125,0.375,7.079375450049832,2.211837596877958,2.233555546984267,1.398973205824998,1.0795619882608727,0.31243400106182934,1.0098189623582512,0.31550177875769325,0.6263435927142635,0.4833378734271868,0.47272191083303966,0.03749999999999998,0.017727071656238977,0.01845195084515026,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
