iteration,residual_mode,shape_mode,value,finite_difference_step,jacobian_condition_number
1,25,1,-0.05812845210492851,0.0003221044409845302,176.09814849591422
1,25,2,-0.07629436249313629,0.0002288349154506379,176.09814849591422
1,25,3,-0.08211315710088325,0.00019002562756517024,176.09814849591422
1,25,4,-0.09895672170844622,6.849515118560372e-05,176.09814849591422
1,25,5,0.0073394730390381555,0.00010735658185860183,176.09814849591422
1,25,6,0.002770053874067893,0.00015629157810513557,176.09814849591422
1,25,7,0.021316763059951904,0.00022388532376631142,176.09814849591422
1,25,8,0.03921319436980199,0.0002971273231367355,176.09814849591422
1,25,9,0.033775476771876346,0.00047252411051982034,176.09814849591422
1,25,10,0.042909853847435654,0.0005191410595630095,176.09814849591422
1,25,11,0.04980887183979812,0.0011104145356010224,176.09814849591422
1,26,0,0.06859627548976684,0.0006650873907904612,176.09814849591422
1,26,1,0.019617323131537138,0.0003221044409845302,176.09814849591422
1,26,2,-0.2412620892625252,0.0002288349154506379,176.09814849591422
1,26,3,-0.6333402128619708,0.00019002562756517024,176.09814849591422
1,26,4,1.114393752928931,6.849515118560372e-05,176.09814849591422
1,26,5,-9.195291746829755,0.00010735658185860183,176.09814849591422
1,26,6,-4.987799399994812,0.00015629157810513557,176.09814849591422
1,26,7,8.956545777389321,0.00022388532376631142,176.09814849591422
1,26,8,-12.952803884952573,0.0002971273231367355,176.09814849591422
1,26,9,4.348565608006623,0.00047252411051982034,176.09814849591422
1,26,10,-9.766594069712927,0.0005191410595630095,176.09814849591422
1,26,11,-0.46244456956616087,0.0011104145356010224,176.09814849591422
1,27,0,-0.020904309421868442,0.0006650873907904612,176.09814849591422
1,27,1,-0.041817210420384984,0.0003221044409845302,176.09814849591422
1,27,2,-0.05509978265366874,0.0002288349154506379,176.09814849591422
1,27,3,-0.059470468056356154,0.00019002562756517024,176.09814849591422
1,27,4,-0.09855612968186214,6.849515118560372e-05,176.09814849591422
1,27,5,-0.004547788111833077,0.00010735658185860183,176.09814849591422
1,27,6,-0.11894319385474628,0.00015629157810513557,176.09814849591422
1,27,7,0.022058689384192795,0.00022388532376631142,176.09814849591422
1,27,8,-0.0754556122324152,0.0002971273231367355,176.09814849591422
1,27,9,-0.0032198290558242285,0.00047252411051982034,176.09814849591422
1,27,10,-0.07160366842306101,0.0005191410595630095,176.09814849591422
1,27,11,-0.03650869017670998,0.0011104145356010224,176.09814849591422
1,28,0,0.0096104438925224,0.0006650873907904612,176.09814849591422
1,28,1,-0.10155442730151995,0.0003221044409845302,176.09814849591422
1,28,2,-0.3981271591288138,0.0002288349154506379,176.09814849591422
1,28,3,-0.7687343286720569,0.00019002562756517024,176.09814849591422
1,28,4,0.8874297907245746,6.849515118560372e-05,176.09814849591422
1,28,5,-0.6819535369500849,0.00010735658185860183,176.09814849591422
