title,station_index,frequency_index,omega_rad_s,quantity,orientation,row_mode,col_mode,heading_index,wave_heading_rad,wave_heading_deg,force_real,force_imag,complex_added_mass_real_per_m,complex_added_mass_imag_per_m,added_mass_per_m,damping_over_omega_per_m,damping_per_m,status
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,as_written_section_force_rows,roll,roll,,,,102.346863,-0.660124898,150.28525139616906,-0.969321709926766,150.28525139616906,-0.969321709926766,-0.7999208678954387,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,sway,sway,,,,66.7317123,-0.368839294,97.98827111195706,-0.5416004399038152,97.98827111195706,-0.5416004399038152,-0.44694912896683514,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,sway,heave,,,,0.0002716352174,1.98636576e-06,0.0003988668117264331,2.9167623594515297e-06,0.0003988668117264331,2.9167623594515297e-06,2.4070224097152336e-06,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,sway,roll,,,,77.2563477,-0.493640661,113.44255501064404,-0.7248576914150858,113.44255501064404,-0.7248576914150858,-0.5981799310584374,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,heave,sway,,,,0.0001848928514,2.520885027e-05,0.0002714950692138315,3.701645843542205e-05,0.0002714950692138315,3.701645843542205e-05,3.054737890923267e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,heave,heave,,,,1663.61169,-1516.79175,2442.8330652133,-2227.24393090959,2442.8330652133,-2227.24393090959,-1838.0057724722292,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,heave,roll,,,,-7.514650406e-06,1.733108729e-05,-1.1034447879658353e-05,2.544881918214338e-05,-1.1034447879658353e-05,2.544881918214338e-05,2.1001326307477662e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,roll,sway,,,,77.1860275,-0.493231207,113.33929743512626,-0.7242564526909917,113.33929743512626,-0.7242564526909917,-0.5976837661659519,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,roll,heave,,,,-0.0002267565578,-6.862734153e-05,-0.00033296737482518585,-0.00010077179673290822,-0.00033296737482518585,-0.00010077179673290822,-8.316069090009432e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,4,0.825237751,radiation,pdstrip_internal_transposed,roll,roll,,,,102.346863,-0.660124898,150.28525139616906,-0.969321709926766,150.28525139616906,-0.969321709926766,-0.7999208678954387,external_pdstrip_reference_smoke_not_a_validation_gate
