benchmark,coefficient,candidate_name,candidate_order,row_count,station_count,total_current_forward_gradient_integral_value,total_candidate_forward_gradient_integral_value,total_forward_gradient_integral_delta_vs_current,max_abs_station_integral_delta_vs_current,dominant_delta_station_index,dominant_delta_x_over_l,dominant_delta_value,dominant_candidate_density_value_per_m,dominant_current_density_value_per_m,dominant_station_delta_share_of_total_abs_delta,max_gradient_norm_ratio_to_current,median_gradient_norm_ratio_to_current,max_gradient_peak_phase_delta_abs_deg,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,B33,phase_aligned_backward,6,39,39,9.045074513727819,-5.879312117894817,-14.924386631622633,5.465177208804193,2,0.075,5.465177208804193,45.746339992678955,-27.122689458043624,0.132350022816775,1.843245470819633,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,phase_aligned_backward,6,39,39,1.8232409617498317,0.15087484772247492,-1.672366114027357,1.6246073751036518,3,0.09999999999999999,-1.6246073751036518,-12.953903937399716,8.707527730648975,0.2108102443001144,2.315440848000428,0.9370700622461956,179.77959210462217,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,phase_aligned_backward,6,39,39,-0.37998208414391305,2.005403632478289,2.385385716622203,2.3227003137417817,2,0.075,2.3227003137417817,19.44219449688855,-11.527143019668538,0.2443572210586628,1.843245470819633,1.0829787215471351,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,phase_aligned_backward,6,39,39,1.004094890825823,1.0713161360823074,0.06722124525648454,0.7451229292488514,2,0.075,0.7451229292488514,7.074269376401493,-2.860703013583192,0.24885441078397097,2.1566542082690843,0.9776264426284695,179.49300092284003,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,startup_aft_gradient_zero,7,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,1.0,1.0,90.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,startup_aft_gradient_zero,7,39,39,-1.6080132468849453,-1.3818293910284718,0.22618385585647366,0.22618385585647366,0,0.024999999999999998,0.22618385585647366,0.0,-6.031569489505965,1.0,1.0,1.0,70.89074584352468,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,startup_aft_gradient_zero,7,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,1.0,1.0,90.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,startup_aft_gradient_zero,7,39,39,0.15199283365756522,0.3937268296041716,0.24173399594660633,0.24173399594660633,0,0.024999999999999998,0.24173399594660633,0.0,-6.446239891909502,1.0,1.0,1.0,62.53942002746783,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,startup_aft_gradient_zero,7,39,39,9.045074513727819,7.772790324535155,-1.272284189192664,1.272284189192664,0,0.024999999999999998,-1.272284189192664,-0.0,33.92757837847104,1.0,1.0,1.0,90.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,startup_aft_gradient_zero,7,39,39,1.8232409617498317,1.0976272072344675,-0.7256137545153643,0.7256137545153643,0,0.024999999999999998,-0.7256137545153643,-0.0,19.349700120409715,1.0,1.0,1.0,78.25676270152417,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,startup_aft_gradient_zero,7,39,39,-0.37998208414391305,-0.9843170740104288,-0.6043349898665155,0.6043349898665155,0,0.024999999999999998,-0.6043349898665155,-0.0,16.115599729773745,1.0,1.0,1.0,90.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,startup_aft_gradient_zero,7,39,39,1.004094890825823,0.6594283574310247,-0.3446665333947982,0.3446665333947982,0,0.024999999999999998,-0.3446665333947982,-0.0,9.191107557194618,1.0,1.0,1.0,62.53942002746783,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
